hotel,is_canceled,lead_time,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0,17,2024-12-08,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient,65.0,0,1
City Hotel,0,128,2024-07-01,2,4,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,163.2,0,2
City Hotel,1,105,2024-08-26,1,2,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,150.3,0,0
City Hotel,0,9,2024-04-29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,110.0,0,0
City Hotel,0,22,2024-10-25,0,1,2,0.0,0,SC,NOR,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,110.0,0,0
City Hotel,1,105,2025-05-13,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,135.0,0,0
Resort Hotel,0,236,2025-08-26,2,5,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,0,Transient,124.54,0,2
City Hotel,0,159,2024-04-09,1,1,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,65.0,0,0
Resort Hotel,0,37,2023-07-15,2,4,2,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,106.9,0,0
City Hotel,1,239,2023-10-17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient,60.0,0,0
Resort Hotel,0,23,2024-04-29,1,2,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,171.0,1,1
City Hotel,1,160,2023-12-30,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,111,Transient-Party,70.0,0,0
City Hotel,0,2,2023-10-13,0,3,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,91.0,0,0
Resort Hotel,0,192,2025-07-22,3,6,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,0,Transient,227.6,1,2
Resort Hotel,1,17,2024-05-13,2,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,135.0,0,0
City Hotel,1,355,2023-10-07,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0
City Hotel,0,149,2024-08-03,2,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,119.0,0,1
City Hotel,0,113,2025-08-17,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,121.5,0,3
Resort Hotel,0,22,2024-11-11,0,1,3,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,C,0,No Deposit,0,Transient,65.0,0,0
City Hotel,0,47,2023-12-19,2,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,0,No Deposit,0,Transient,71.5,0,0
City Hotel,1,64,2025-03-18,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,97.2,0,0
City Hotel,0,69,2023-10-25,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58,Transient-Party,85.67,0,0
Resort Hotel,0,297,2024-09-19,3,7,2,0.0,0,HB,POL,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,88.9,0,1
City Hotel,0,282,2024-06-09,0,3,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,48,Transient-Party,73.33,0,1
City Hotel,1,461,2024-10-13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
Resort Hotel,0,206,2025-05-20,3,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,52.85,0,0
City Hotel,0,168,2025-07-17,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,1
City Hotel,0,15,2023-09-20,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,124.0,0,2
City Hotel,0,178,2025-04-12,1,4,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,189.0,0,0
City Hotel,0,145,2023-08-29,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,94.5,0,0
Resort Hotel,1,243,2024-10-02,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,49.0,0,0
Resort Hotel,0,29,2024-03-16,0,3,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,40.0,0,0
City Hotel,0,193,2025-03-23,1,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,108.0,0,1
City Hotel,0,10,2025-02-19,2,0,1,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,0
City Hotel,1,27,2025-04-02,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,150.0,0,0
City Hotel,1,312,2023-08-25,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0
City Hotel,0,217,2025-06-30,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,109.08,0,0
Resort Hotel,0,0,2024-10-18,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,E,0,No Deposit,0,Transient,50.0,0,0
City Hotel,1,154,2025-06-15,0,2,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,150.3,0,2
City Hotel,1,329,2023-09-11,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient,90.0,0,0
City Hotel,1,180,2024-04-13,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,38,Transient,125.0,0,0
City Hotel,0,55,2024-03-31,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,3,A,A,0,No Deposit,0,Transient-Party,67.0,1,0
Resort Hotel,0,0,2024-05-02,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,0
City Hotel,1,291,2024-08-19,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,115.0,0,0
City Hotel,1,44,2025-04-20,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,0
City Hotel,0,79,2024-04-27,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,75.0,0,0
Resort Hotel,0,0,2024-11-03,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,75.0,0,0
Resort Hotel,1,244,2024-09-20,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.0,0,1
City Hotel,0,201,2025-07-11,0,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,0,Transient,179.1,0,0
City Hotel,0,28,2024-10-10,1,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,139.0,0,2
Resort Hotel,0,189,2024-05-16,2,5,2,0.0,0,HB,POL,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,0,Transient-Party,82.95,0,1
