booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-098185,City Hotel,0,30,2024,September,39,24,2024-09-24,1,1,2,0.0,0,BB,ZAF,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,,0,Transient,143.55,0,0
HB-082778,City Hotel,1,68,2024,February,7,17,2024-02-17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0,0
HB-069859,City Hotel,1,181,2025,June,23,8,2025-06-08,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,100.0,0,0
HB-116056,City Hotel,0,248,2025,July,28,11,2025-07-11,0,4,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,89.1,0,1
HB-024861,Resort Hotel,0,8,2024,June,23,4,2024-06-04,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,109.0,0,0
HB-007458,Resort Hotel,0,278,2024,August,32,10,2024-08-10,1,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,159.5,0,1
HB-008303,Resort Hotel,1,164,2024,September,38,21,2024-09-21,2,7,1,0.0,0,BB,IRL,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,123.1,0,0
HB-024511,Resort Hotel,0,47,2024,May,21,21,2024-05-21,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,106.33,1,1
HB-025997,Resort Hotel,0,126,2024,July,28,8,2024-07-08,3,7,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,149.2,0,1
HB-069725,City Hotel,1,31,2025,June,23,4,2025-06-04,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,158.0,0,0
HB-046793,City Hotel,1,12,2024,January,3,19,2024-01-19,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,19.0,,0,Transient-Party,72.0,0,0
HB-073618,City Hotel,1,368,2025,August,35,28,2025-08-28,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,28.0,,0,Transient,80.1,0,0
HB-103181,City Hotel,0,217,2024,December,49,5,2024-12-05,3,7,1,1.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Transient,65.11,0,2
HB-037777,Resort Hotel,0,45,2025,June,26,23,2025-06-23,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,531.0,,0,Transient,144.4,0,2
HB-071680,City Hotel,1,47,2025,July,28,10,2025-07-10,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52.0,,0,Transient,80.1,0,1
HB-043431,City Hotel,1,74,2023,September,38,18,2023-09-18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0
HB-083213,City Hotel,0,11,2024,January,4,23,2024-01-23,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,87.0,0,0
HB-004359,Resort Hotel,1,30,2024,March,10,7,2024-03-07,1,5,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,38.0,,0,Transient-Party,68.4,0,0
HB-075640,City Hotel,1,281,2023,July,30,25,2023-07-25,2,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0
HB-007080,Resort Hotel,1,29,2024,July,29,20,2024-07-20,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,331.0,0,Transient,115.0,0,0
HB-071646,City Hotel,1,95,2025,July,28,9,2025-07-09,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.0,0,2
HB-100535,City Hotel,0,157,2024,October,43,22,2024-10-22,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.86,0,2
HB-083308,City Hotel,0,0,2024,January,4,24,2024-01-24,2,2,2,0.0,1,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,2,No Deposit,83.0,,0,Transient,68.4,0,1
HB-084280,City Hotel,0,19,2024,February,8,19,2024-02-19,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.0,0,1
HB-002602,Resort Hotel,0,93,2023,October,43,23,2023-10-23,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,34.65,0,1
HB-076799,City Hotel,0,192,2023,August,31,6,2023-08-06,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,76.5,0,2
HB-032836,Resort Hotel,1,20,2025,February,6,7,2025-02-07,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,45.0,0,1
HB-061144,City Hotel,1,60,2024,December,49,2,2024-12-02,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,74.8,0,0
HB-017063,Resort Hotel,0,185,2023,September,38,21,2023-09-21,1,1,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,C,0,No Deposit,208.0,,0,Transient-Party,90.0,0,0
HB-001358,Resort Hotel,1,2,2023,August,34,26,2023-08-26,0,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,110.0,0,Transient,137.7,0,0
HB-019169,Resort Hotel,0,27,2023,December,49,7,2023-12-07,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,46.2,0,1
HB-114381,City Hotel,0,129,2025,June,25,17,2025-06-17,2,2,2,0.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,0
HB-063477,City Hotel,1,67,2025,February,7,12,2025-02-12,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,80.0,0,0
HB-084084,City Hotel,0,5,2024,February,7,16,2024-02-16,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,91.0,0,0
HB-015288,Resort Hotel,0,2,2024,February,5,4,2024-02-04,2,3,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,D,1,No Deposit,,,0,Transient-Party,43.8,1,0
HB-073124,City Hotel,1,11,2025,August,33,15,2025-08-15,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,12.0,0,0
HB-072492,City Hotel,1,490,2025,July,31,29,2025-07-29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,229.0,,0,Transient,90.0,0,0
HB-093808,City Hotel,0,37,2024,July,30,26,2024-07-26,0,1,3,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,F,0,No Deposit,14.0,,0,Transient,188.95,0,1
HB-014862,Resort Hotel,1,207,2023,September,39,26,2023-09-26,1,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,No Deposit,208.0,,0,Transient,34.0,0,0
HB-101120,City Hotel,0,53,2024,November,45,4,2024-11-04,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,1
HB-020546,Resort Hotel,0,6,2024,February,5,2,2024-02-02,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,,94.0,0,Transient,27.0,0,0
HB-075414,City Hotel,1,323,2023,September,36,5,2023-09-05,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
HB-031036,Resort Hotel,0,17,2024,December,49,8,2024-12-08,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,65.0,0,1
HB-092441,City Hotel,0,128,2024,July,27,1,2024-07-01,2,4,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,163.2,0,2
HB-055993,City Hotel,1,105,2024,August,35,26,2024-08-26,1,2,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.3,0,0
HB-088121,City Hotel,0,9,2024,April,18,29,2024-04-29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,29.0,,0,Transient-Party,110.0,0,0
HB-100317,City Hotel,0,22,2024,October,43,25,2024-10-25,0,1,2,0.0,0,SC,NOR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,110.0,0,0
HB-068114,City Hotel,1,105,2025,May,20,13,2025-05-13,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,0
HB-039937,Resort Hotel,0,236,2025,August,35,26,2025-08-26,2,5,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,C,1,No Deposit,250.0,,0,Transient,124.54,0,2
HB-086907,City Hotel,0,159,2024,April,15,9,2024-04-09,1,1,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,3.0,,0,Transient-Party,65.0,0,0
HB-000411,Resort Hotel,0,37,2023,July,28,15,2023-07-15,2,4,2,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,106.9,0,0
HB-076872,City Hotel,1,239,2023,October,42,17,2023-10-17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0
HB-023756,Resort Hotel,0,23,2024,April,18,29,2024-04-29,1,2,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,171.0,1,1
HB-046362,City Hotel,1,160,2023,December,52,30,2023-12-30,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,111,Transient-Party,70.0,0,0
HB-078753,City Hotel,0,2,2023,October,41,13,2023-10-13,0,3,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient-Party,91.0,0,0
HB-038831,Resort Hotel,0,192,2025,July,30,22,2025-07-22,3,6,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,227.6,1,2
HB-005774,Resort Hotel,1,17,2024,May,20,13,2024-05-13,2,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,135.0,0,0
HB-075511,City Hotel,1,355,2023,October,40,7,2023-10-07,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0
HB-094750,City Hotel,0,149,2024,August,31,3,2024-08-03,2,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,119.0,0,1
